# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 11 05:48:18 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_kepflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_name,pl_disc,pl_pelink
1,11 Com,b,Radial Velocity,1,326.03000000,1.290000,0.231000,,19.40000,,,,0,185.179276,17.792868,110.62,4.740,4742.00,2.7000,19.00,HD 107383,HIP 60202,11 Com b,2007,http://exoplanet.eu/catalog/11_com_b/
2,11 UMi,b,Radial Velocity,1,516.22000000,1.540000,0.080000,,10.50000,,,,0,229.274536,71.823898,119.47,5.016,4340.00,1.8000,24.08,HD 136726,HIP 74793,11 UMi b,2009,http://exoplanet.eu/catalog/11_umi_b/
3,14 And,b,Radial Velocity,1,185.84000000,0.830000,0.000000,,4.80000,,,,0,352.822571,39.236198,76.39,,4813.00,2.2000,11.00,HD 221345,HIP 116076,14 And b,2008,http://exoplanet.eu/catalog/14_and_b/
4,14 Her,b,Radial Velocity,1,1773.40000000,2.770000,0.369000,,4.64000,,,,0,242.601303,43.817646,18.15,6.610,5311.00,0.9000,,HD 145675,HIP 79248,14 Her b,2002,http://exoplanet.eu/catalog/14_her_b/
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.681000,0.681000,1.68000,,,,,0,295.466553,50.517525,21.41,6.250,5674.00,0.9900,,HD 186427,HIP 96901,16 Cyg B b,1996,http://exoplanet.eu/catalog/16_cyg_b_b/
6,18 Del,b,Radial Velocity,1,993.30000000,2.600000,0.080000,,10.30000,,,,0,314.608063,10.839286,73.10,,4979.00,2.3000,8.50,HD 199665,HIP 103527,18 Del b,2008,http://exoplanet.eu/catalog/18_del_b/
7,1RXS J160929.1-210524,b,Imaging,1,,330.000000,,8.00000,,,,,0,242.376266,-21.083036,145.00,,4060.00,0.8500,,,,1RXS J160929.1-210524 b,2008,http://exoplanet.eu/catalog/1rxs1609_b/
8,24 Sex,b,Radial Velocity,2,452.80000000,1.333000,0.090000,,1.99000,,,,0,155.868210,-0.902244,74.79,6.441,5098.00,1.5400,4.90,HD 90043,HIP 50887,24 Sex b,2010,http://exoplanet.eu/catalog/24_sex_b/
9,24 Sex,c,Radial Velocity,2,883.00000000,2.080000,0.290000,,0.86000,,,,0,155.868210,-0.902244,74.79,6.441,5098.00,1.5400,4.90,HD 90043,HIP 50887,24 Sex c,2010,http://exoplanet.eu/catalog/24_sex_c/
10,2MASS J01225093-2439505,b,Imaging,1,,52.000000,,24.50000,,,,,0,20.712242,-24.664049,36.00,14.240,3530.00,0.4000,,,,2MASS J01225093-2439505 b,2013,http://exoplanet.eu/catalog/2m_0122-2439_b/
11,2MASS J02192210-3925225,b,Imaging,1,,156.000000,,13.90000,,1.440,,,0,34.842106,-39.422928,39.40,,3064.00,0.1080,0.28,,,2MASS J02192210-3925225 b,2015,
12,2MASS J04414489+2301513,b,Imaging,1,,15.000000,,7.50000,,,,,0,70.437073,23.030941,140.00,,,0.0190,,,,2MASS J04414489+2301513 b,2010,http://exoplanet.eu/catalog/2m_044144_b/
13,2MASS J12073346-3932539,b,Imaging,1,,46.000000,,4.00000,,,,,0,181.889450,-39.548332,52.40,20.150,,0.0240,,,,2MASS J12073346-3932539 b,2004,http://exoplanet.eu/catalog/2m1207_b/
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,0.920000,,1.90000,,,,,1,294.635864,46.066418,,,,0.4800,,,,2MASS J19383260+4603591 b,2015,
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,0.260000,20.95000,,0.920,,46.200,0,325.122162,16.421759,25.00,,2300.00,0.0800,0.12,,,2MASS J21402931+1625183 A b,2009,http://exoplanet.eu/catalog/2m_2140+16_b/
16,30 Ari B,b,Radial Velocity,1,335.10000000,0.995000,0.289000,,9.88000,,,,0,39.240585,24.648064,39.43,,6300.00,1.1600,1.13,HD 16232,HIP 12184,30 Ari B b,2009,http://exoplanet.eu/catalog/30_ari_b_b/
17,4 UMa,b,Radial Velocity,1,269.30000000,0.870000,0.432000,,7.10000,,,,0,130.053406,64.327934,77.40,4.610,4415.00,1.2340,18.11,HD 73108,HIP 42527,4 UMa b,2006,http://exoplanet.eu/catalog/4_uma_b/
18,42 Dra,b,Radial Velocity,1,479.10000000,1.190000,0.380000,,3.88000,,,,0,276.496399,65.563484,97.28,4.820,4200.00,0.9800,22.03,HD 170693,HIP 90344,42 Dra b,2008,http://exoplanet.eu/catalog/42_dra_b/
